subject,predicate,object
2289190,wikidata/Education::,29136
7200444,wikidata/Education::,38397
38392,littlesis/Donation/Grant::1000000 usd,55616
841206,wikidata/Education::,255538
3246389,wikidata/Education::,29148
3251165,wikidata/Education::,38475
2140570,wikidata/Education::,3119713
5385822,wikidata/Education::,29156
34516,wikidata/Ownership::,6197153
6207358,wikidata/Education::,29136
4368264,wikidata/Education::,5213208
6211271,wikidata/Education::,29143
7342908,wikidata/Education::,29148
2146831,wikidata/Education::,38425
44384,wikidata/Bachelor of Science,29136
6081745,wikidata/Education::,21865
6221341,wikidata/Education::,29156
6411120,wikidata/Education::,226145
4231462,wikidata/Education::,29155
6458018,wikidata/Education::,29241
2281477,wikidata/Education::,38425
38067,littlesis/Service/Transaction:: (lobbyist),3768
2202581,wikidata/Education::,29155
32110,wikidata/Education::,3121131
390818,littlesis/Family::son-in-law,49279
5259979,wikidata/Education::,29143
3255472,wikidata/Education::,38475
3736980,wikidata/Doctor of Philosophy,29110
1273945,wikidata/Ownership::,6239346
948262,wikidata/Education::,7199570
4187572,wikidata/Doctor of Medicine,29159
4300,littlesis/Donation/Grant::2800 usd (Campaign Contribution),412962
892489,wikidata/Education::,38397
3430483,wikidata/Education::,38397
4843905,wikidata/Education::,29110
7303674,wikidata/Education::,29156
6510130,wikidata/Master of Science,29136
7185667,wikidata/Education::,29136
7376703,wikidata/Education::,29241
7230956,wikidata/Education::,29110
35375,wikidata/Education::,21865
4196102,wikidata/Education::,3119713
256729,littlesis/Donation/Grant::2300 usd (Campaign Contribution),28344
1906359,wikidata/Education::,38397
6395276,wikidata/Education::,226145
7568623,wikidata/Education::,38425
889027,wikidata/Education::,29223
4201270,wikidata/Ownership:: (23% stake),3149866
7216914,wikidata/Education::,416568
3121904,wikidata/Education::,7199570
211579,littlesis/Donation/Grant::100000 usd (Energy & Environment Program Non-Charitable Support),255359
29136,wikidata/Hierarchy::has subsidiary,4183480
1024720,wikidata/Bachelor of Arts (history),38450
7561448,wikidata/Education::,29110
263455,wikidata/Ownership::,4209981
7604557,wikidata/Ownership::,4260700
3147146,wikidata/Education::,7199570
4211907,wikidata/Education::,3119713
7504183,wikidata/doctorate (medicine),35960
1251746,wikidata/Education::,29110
2200657,wikidata/Education::,7199570
4041,littlesis/Donation/Grant::2000 usd (Campaign Contribution),37923
6325171,wikidata/Education::,29155
5366150,wikidata/Education::,255440
82777,littlesis/Donation/Grant::424 usd (Campaign Contribution),28344
256265,littlesis/Donation/Grant:: (Donation),63846
29296,littlesis/Donation/Grant::2300 usd (Campaign Contribution),212847
816518,wikidata/Education::,38397
820105,wikidata/Education::,29155
5615249,wikidata/Bachelor of Science (computer science),29155
28584,littlesis/Donation/Grant::2100 usd (Campaign Contribution),28319
29175,wikidata/Ownership::,7357320
3788,littlesis/Ownership::Institutional investor (12485446 shares),3794
383385,littlesis/Donation/Grant::2000 usd (Campaign Contribution),21796
421793,littlesis/MS,255354
301,littlesis/Service/Transaction::3360000 usd (Contractor),29054
2150013,wikidata/Education::,226145
264321,littlesis/Former VP Mobile Communications,108
7311841,wikidata/Education::,126385
7618050,wikidata/director general,136219
2416902,wikidata/Education::,29155
2210684,wikidata/Education::,38450
820942,wikidata/Education::,4184023
262375,littlesis/Donation/Grant::4330 usd (Campaign Contribution),37983
7239157,wikidata/Education::,29156
28656,wikidata/Bachelor of Science,29222
3674980,wikidata/Education::,7199570
36309,wikidata/Education::,29143
7380356,wikidata/Education::,3119713
6334573,wikidata/Education::,29110
123708,littlesis/Donation/Grant::1000 usd (Campaign Contribution),37983
13224,littlesis/Donation/Grant::8000 usd (Campaign Contribution),37983
960063,wikidata/Education::,29155
776,littlesis/Independent Lead Director (Board of Directors),301
4218604,wikidata/Hierarchy::has subsidiary,4282522
4346805,wikidata/Education::,29143
7313882,wikidata/Education::,29155
133571,littlesis/MBA,29155
418033,wikidata/Juris Doctor,29156
4195147,wikidata/Education::,6175003
396959,littlesis/Donation/Grant::5600 usd (Campaign Contribution),212841
6197262,wikidata/Hierarchy::has subsidiary (7% stake),5212582
3256002,wikidata/Education::,38404
996893,wikidata/Doctor of Philosophy (linguistics),38397
4392372,wikidata/Education::,29110
4532288,wikidata/Education::,38397
5178951,wikidata/Bachelor of Science (physics),29241
7375288,wikidata/Education::,29143
6224544,wikidata/Education::,29155
1103909,wikidata/Education::,29110
7526657,wikidata/Education::,29241
918998,wikidata/Education::,29143
1030688,wikidata/Education::,29155
4332964,wikidata/Education::,29156
4579793,wikidata/bachelor's degree (communication),261954
6278559,wikidata/Education::,29143
75838,wikidata/organizational founder,823
3128343,wikidata/Education::,245622
4260246,wikidata/Education::,29110
846332,wikidata/Education::,29110
7270099,wikidata/Education::,4184023
3144198,wikidata/Education::,29241
1341302,wikidata/Education::,29136
3426729,wikidata/Education::,29156
7620285,wikidata/Education::,29110
3121481,wikidata/Education::,261954
31312,littlesis/Donation/Grant::250 usd (Campaign Contribution),37983
867341,wikidata/Education::,38425
6204933,wikidata/Education::,29155
2313991,wikidata/Education::,29110
957906,wikidata/Education::,29148
6262879,wikidata/Education::,415669
5395999,wikidata/Education::,5213208
5333236,wikidata/Education::,38425
2313840,wikidata/Education::,29156
3314451,wikidata/Education::,38475
6221346,wikidata/Education::,29155
4405349,wikidata/Education::,38397
6320552,wikidata/bachelor's degree,4211424
2312907,wikidata/Education::,10158
7350762,wikidata/Education::,38397
21308,wikidata/Education::,29159
3252071,wikidata/Education::,29148
954123,wikidata/Education::,29241
29181,littlesis/Donation/Grant::8000 usd (Campaign Contribution),417089
2311500,wikidata/Education::,21865
7377159,wikidata/Education::,38475
866482,wikidata/Education::,29143
3243515,wikidata/Education::,29143
6266799,wikidata/Education::,38450
264076,littlesis/Donation/Grant::500 usd (Campaign Contribution),28546
7212771,wikidata/Education::,29156
4511154,wikidata/Education::,29136
875249,wikidata/Education::,3119713
6362376,wikidata/Education::,4184023
3122051,wikidata/Education::,5213208
845167,wikidata/Education::,29148
3157101,wikidata/Education::,38475
963715,wikidata/Education::,29223
3287626,wikidata/Education::,6175003
4340586,wikidata/Education::,416561
3396145,wikidata/Education::,38425
3238405,wikidata/Education::,29175
1251595,wikidata/Education::,35960
15060,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28480
1017499,wikidata/Education::,38425
3313023,wikidata/Education::,38397
2159544,wikidata/Education::,29155
1017948,wikidata/Education::,21865
7600004,wikidata/Education::,7216587
4508899,wikidata/Education::,7182808
5476207,wikidata/Education::,29159
7354314,wikidata/Education::,29156
838578,wikidata/Education::,29155
7207676,wikidata/Education::,29241
536446,wikidata/Education::,29156
1062,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28480
7227063,wikidata/Education::,29110
3313143,wikidata/Education::,38450
4809,littlesis/Donation/Grant::33300 usd (Campaign Contribution),28480
2332816,wikidata/Bachelor of Arts,38450
414713,littlesis/Donation/Grant::300 usd (Campaign Contribution),38214
7394926,wikidata/Education::,29156
6575583,wikidata/Education::,255354
7623424,wikidata/Bachelor of Science,29136
4191559,wikidata/Education::,29222
156435,littlesis/MBA,29110
4378678,wikidata/Education::,29110
2340218,wikidata/Doctor of Philosophy,38475
6190981,wikidata/Education::,29136
4352528,wikidata/Education::,29110
590642,wikidata/Master of Science,29223
4029469,wikidata/Education::,261954
971608,wikidata/(music),38450
973357,wikidata/Education::,29148
258406,littlesis/Donation/Grant::2000 usd (Campaign Contribution),38089
4764431,wikidata/Education::,38397
1225701,wikidata/Education::,29143
415847,littlesis/Donation/Grant::250 usd (Campaign Contribution),38214
5313085,wikidata/Education::,29156
3119298,wikidata/Education::,29110
6328188,wikidata/Education::,29110
78497,littlesis/BA in Theoretical Physics,38425
826928,wikidata/Education::,29223
7207412,wikidata/Education::,29110
4438,littlesis/Donation/Grant::1000 usd (Campaign Contribution),38214
4167148,wikidata/Doctor of Philosophy,29241
211476,wikidata/Ownership::,840437
1154040,wikidata/Education::,29110
28581,wikidata/advisor,256191
3788,littlesis/Ownership::Shareholder (1% stake) (127043343 shares),160606
4181772,wikidata/Doctor of Philosophy (physics),29143
5844082,wikidata/Doctor of Philosophy,38397
7207076,wikidata/Education::,29167
